datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-09-02T00:00;60;46;0.0;0.0
2025-09-02T01:00;60;35;0.0;0.0
2025-09-02T02:00;10;85;0.0;0.0
2025-09-02T03:00;10;91;0.0;0.0
2025-09-02T04:00;10;93;0.0;0.0
2025-09-02T05:00;10;93;0.0;0.0
2025-09-02T06:00;10;100;0.0;0.0
2025-09-02T07:00;10;100;2.0;0.005
2025-09-02T08:00;10;100;16.0;0.071
2025-09-02T09:00;10;97;49.2;0.308
2025-09-02T10:00;10;100;78.2;0.603
2025-09-02T11:00;10;99;80.5;0.698
2025-09-02T12:00;10;100;169.0;1.538
2025-09-02T13:00;10;100;170.8;1.529
2025-09-02T14:00;10;100;75.2;0.62
2025-09-02T15:00;10;100;144.5;1.015
2025-09-02T16:00;10;100;149.5;0.803
2025-09-02T17:00;10;100;240.2;0.817
2025-09-02T18:00;10;100;231.8;0.29
2025-09-02T19:00;10;83;87.8;0.0
2025-09-02T20:00;10;98;14.2;0.0
2025-09-02T21:00;10;84;0.0;0.0
2025-09-02T22:00;10;83;0.0;0.0
2025-09-02T23:00;30;78;0.0;0.0
